SYMBOL	1_08_AD-F	10_11_AD-F	11_12_Normal-M	26_05_Normal-M	39_08_AD-M	39_10_AD-M	4_05_Normal-M
HBM	5.337908119	4.834359066	4.924417836	4.945471013	4.902568903	4.742916975	4.814411868
ATP8B4	4.260260649	4.977706962	4.543245518	4.102468474	4.35310809	4.786333039	5.137931255
SERPINB2	5.068547495	4.820858481	4.900040967	4.964419994	4.826103425	4.836743588	4.855376855
AKR1C6P	5.167032282	4.715550229	5.034490163	4.854783999	4.784799104	4.727101027	5.031102276
DAOA	5.271198989	4.764025845	4.789064816	4.850914773	4.764025845	4.849429205	4.769243584
PLGLB2	4.924757966	4.803144468	4.934631232	4.625699354	4.854528428	4.932062757	4.989384938
LOC101927798	4.867163506	4.92107097	5.187662991	5.013699145	4.811272187	4.740205661	4.709364404
MYBPC2	4.991474011	4.848017689	5.020213479	5.051549891	4.557222565	4.799359931	4.961724912
SYCP2L	4.610611359	4.870854824	4.603636883	4.817690658	4.916526765	4.824635818	5.295071933
OR2L2	4.951069198	5.125042472	4.875123625	4.940861687	4.92554169	4.875123625	4.501590824
CYP2C18	5.313118286	4.909300435	4.927560907	4.820851512	4.695858316	4.80873871	4.779167045
LHFPL3-AS2	4.777301691	4.648211895	4.843039754	5.176509372	4.843039754	4.990549709	4.70310456
KLK5	4.740461199	4.740461199	4.740461199	4.748091386	4.701242746	4.740461199	4.782996384
RD3	5.049295556	4.897829229	4.724728166	5.108680033	4.75635649	4.898479845	4.733331849
MROH2B	5.030515165	4.79053454	4.843039754	4.843039754	4.959006723	4.968926577	4.78591543
LOC100505664	5.149705944	4.746470209	5.000590354	5.103235676	4.843039754	4.929048064	4.392512654
DNAH8	4.831655854	4.799359931	4.877840104	4.849157141	4.953880539	5.009007446	4.877840104
DARS-AS1	5.031102276	4.778818942	5.184457157	4.78757011	4.722077433	4.968460189	4.678705659
MAGEC3	4.963739224	5.250730071	4.431921958	4.819715746	4.788234684	5.045535434	4.800852966
MAGEA1	4.963146487	5.00451136	4.954625041	4.844580294	4.778775082	4.747709683	4.836871564
MBD3L1	4.963260266	4.686015794	4.969095917	4.850939254	4.79220949	5.048544862	4.597180547
LINC00544	5.070055962	4.761239303	4.767030996	4.940065218	4.79467506	4.869315589	4.738938093
CCDC172	4.947892626	4.837488503	5.008163369	4.81519014	4.8257626	4.992231303	4.776674047
NAV2-IT1	5.235638809	4.728522355	5.007931284	5.020826375	4.845952722	4.890123388	4.740353154
C8G	4.852656552	4.852656552	4.775756496	4.94771601	4.852656552	4.852656552	4.813695489
GJB2	4.879903759	4.648147569	4.84535804	5.17389321	4.333773345	4.785247557	4.727736912
TTTY10	5.138297043	4.562038821	5.05899769	4.740111234	4.808033867	5.009798341	5.036213532
CNGA3	5.056373007	4.628246414	4.000214725	5.465017629	4.304805575	4.764025845	4.876816971
CCL27	5.060182376	5.02089288	4.841207396	4.979897963	4.716358467	5.058866862	4.738922397
LOC100996579	4.799973489	4.797737379	4.829545154	5.07195964	4.799973489	4.731458945	4.799973489
LCN6	4.796229278	4.788226154	5.155687648	5.081761951	4.843039754	4.750542247	4.836818501
LUM	4.997214494	4.589580621	5.110244769	4.478385502	3.858971756	4.244891447	5.010365645
ZNF205-AS1	4.887826951	4.657894685	4.843039754	5.027919643	4.835372791	4.867721623	4.826447263
LOC101928009	5.184838128	4.768112555	4.72130439	5.015543094	4.726471127	4.994783445	4.796618925
CNTNAP3	4.87817873	4.812670643	4.140224726	5.10272643	4.70920169	4.325936573	5.386231384
CD1D	4.969292575	4.771761157	4.906881628	4.956050534	4.850154406	4.951448617	4.951129957
HMGB4	4.955489957	4.731772831	4.954870518	5.020212523	4.892152218	4.892152218	4.591510143
TMEM213	4.663875076	4.904929939	4.911971593	4.706944416	4.982483393	4.877840104	4.913267864
KIAA1524	4.201198026	4.854210768	4.049001357	4.163831198	4.876587824	4.856342315	5.235683314
SUCNR1	4.821588136	4.699859367	4.892105799	4.877840104	4.710086258	4.93738941	4.844968118
LOC728819	4.493143103	5.167230905	4.559652838	4.848017689	5.092103533	5.059973556	4.623445574
LOC100131180	4.969467945	4.838372825	5.051561866	4.879721024	4.837070664	4.898059825	4.837070664
AGBL3	4.583005591	5.054509901	4.729422456	4.810949819	4.897346804	5.119434267	4.761106483
LOC100507194	4.808033867	4.789727222	4.747164733	4.640524154	4.877840104	4.564024975	5.10797201
LOC100505841	5.080671324	4.813115854	5.041113714	4.922928931	4.813932385	4.860894307	4.814411868
LHFPL1	4.896331195	4.998439597	4.88698699	5.033098819	4.808033867	4.924413432	4.718083886
ZNF32-AS3	4.924757966	4.918699961	4.934964428	4.947583681	4.670558407	4.865908205	4.79999955
GBA3	5.013295914	4.828222652	4.946611527	4.828222652	4.696600465	5.092932131	4.547682964
LOC286058	4.775756496	4.775756496	5.211312936	4.919601574	4.800568869	5.043102872	4.830317226
AATBC	4.827718536	4.811893567	5.019653945	4.904485014	5.185503693	4.843087583	4.5395067
FAM205BP	5.025021959	4.845403981	5.099380345	5.069104902	4.606741245	4.781301644	4.781301644
BANF2	4.896378761	4.884470578	5.278841266	5.007708927	4.805641545	4.956701456	4.535109759
MYH15	5.160928439	5.095188936	4.88738428	4.866870135	4.752349354	4.622980503	4.564024975
SLCO5A1	4.034326873	4.970841887	4.395122205	4.455488908	5.194758469	4.680400359	5.554825184
CLEC2D	5.092070228	4.939517384	4.906044195	5.02427557	4.879903759	4.993648694	4.655852998
HOXB8	5.171608727	4.677170332	4.826570922	5.18071886	5.04030529	4.876100219	4.830482633
TLR8	5.005363391	4.823989189	5.017216309	4.735857023	4.689303901	4.919097007	4.703394771
TNMD	4.973128037	4.810949819	4.810949819	4.87652604	4.736227875	4.715695334	4.888764417
MS4A15	4.924757966	4.948913516	5.013205625	4.880772872	4.774160162	4.755463391	4.722424085
GPR52	4.946941072	4.742210817	5.148891481	5.03917264	4.803421509	4.673746216	4.872468153
MAP1LC3C	5.306717828	5.037137404	4.965327255	4.737056712	4.718255547	4.879169223	4.609596314
BVES-AS1	5.2133466	4.909009779	4.995884188	4.923357947	4.754247076	4.932438007	4.530667081
OLFML1	4.757943299	4.666663864	4.72555923	4.914477434	4.833893271	5.300212075	4.680469109
SLC3A1	5.289110629	4.837958286	5.034432201	4.821816379	4.655981471	5.136511999	4.67687885
LOC100505920	5.174272183	4.846906689	4.801367074	4.914044024	4.799354096	5.029403335	4.645966082
LOC728805	5.098057241	4.916194677	4.851460358	4.839837151	4.674490345	4.901504718	4.839837151
WBP2NL	4.649941873	5.341470093	4.417017061	4.824082286	4.407953255	5.553448623	4.722424085
NUDT16P1	4.986353445	4.878002434	4.810949819	4.817483928	4.668474545	4.901285718	4.62443329
OVAAL	5.113498316	4.604653002	4.821392501	4.873526486	4.803352685	4.911761349	4.63125432
HIST1H4L	4.829187413	4.808033867	5.037152829	4.808033867	4.924757966	4.808033867	4.901363392
LOC729324	4.969868039	4.721679531	4.994894639	4.979390609	4.9088801	4.742331313	4.845952722
LOC100147773	4.841288522	4.908441655	4.898949349	4.818563556	4.930309926	4.818563556	4.65950572
LINC00923	4.794724466	5.023273426	4.728272236	4.668616097	4.699538441	4.723190997	4.881698667
WFDC11	4.841664414	4.676389286	4.845952722	4.845952722	4.677637928	4.935929673	4.865956809
KIAA1661	4.801175507	4.764025845	4.863597246	5.565812791	4.968264271	4.764025845	4.502755699
EGFLAM-AS2	4.901474565	4.908423665	4.775719969	4.880967525	4.843039754	4.79709701	4.657966492
GOT1L1	4.9902166	4.785828107	4.812196216	4.88350277	4.810949819	4.846993577	4.718574571
CHRM2	4.810949819	4.578827602	5.087675705	5.184265822	4.593917137	4.627199153	4.982731918
